EXPE,0.338441581 0.119259402 0.41346404 0.056934562 -1.654307365 0.335758626 1.135827899 -0.554719388 -0.873649061 -1.279192567 1.962182164
F,-0.833090901 -0.703990459 1.716181874 0.533612072 0.216639772 0.209082514 0.113451347 -0.15728201 -1.203615427 -1.526229382 1.635240555
FAST,0.550122261 -1.502257466 0.075402983 1.318596005 -0.48896867 0.558835924 0.728653908 1.555696011 -1.541814327 -0.50484544 -0.74942112
FCX,0.570971608 0.417565525 0.879447401 -0.403248429 -1.535063267 0.877071559 0.750845373 -0.936864734 -0.747011423 -1.425217509 1.551503897
FDO,-1.935532093 0.685318232 0.349822432 -1.449176788 0.933687449 0.435653806 0.935331941 0.583501935 -0.029020078 -1.292578816 0.782992005
FDX,0.726186454 -0.439658344 1.260001302 -0.335171312 -0.825814903 0.597397923 0.797770321 -0.578677058 -0.938554764 -1.813057184 1.549577475
FE,0.500635266 -0.544629991 0.020815386 1.676609039 -0.835000515 -1.791848302 0.47014761 -0.298651218 -1.003122568 0.274922192 1.530122995
FHN,0.002633856 -1.137735724 1.965625405 0.004613936 -0.312308758 -0.002606659 1.535259008 0.260657489 -1.530886292 -0.970301151 0.185048804
FII,0.424690217 0.597449005 -0.338455349 1.607058287 -1.12896502 0.060357701 1.379889846 -1.292203665 -1.168851376 -0.947201192 0.806231499
FIS,0.334552795 -2.448001862 0.319028676 0.311788887 -0.170516223 -0.899092734 0.353337646 1.582220435 0.456527114 -0.630350173 0.790505528
FISV,-0.108920269 -0.873872638 -0.050156366 0.798684239 -1.391489148 1.201114297 0.880323827 0.043795235 -1.374255896 -0.819009006 1.693785787
FITB,-0.790763319 -1.236739755 1.002299905 -0.445204437 2.137029648 -0.32598564 0.753758013 0.664746881 -1.245522261 -0.628243268 0.114624232
FLIR,2.052401066 -0.26312682 -0.056506909 1.235363364 -1.356170058 -1.327724814 0.25729394 0.634222627 -1.054024339 -0.071660891 -0.050067171
FLR,-0.382928252 -1.050922275 -0.761985421 0.71639818 0.121271297 -0.574655414 1.009710908 1.558369517 -1.196564317 -0.998568475 1.559874177
FLS,1.219220996 -0.087795988 -0.173292547 -0.661676288 -0.627941072 0.901152194 0.819809854 0.206530735 -1.841220856 -1.236926198 1.482139349
FO,0.675610185 -1.083930254 -0.304150611 1.138021588 -0.528245866 0.416475803 0.954089165 0.685598254 -1.113759398 -1.929026842 1.089317918
FRX,0.114117622 -1.020975232 1.801792979 0.698813438 -1.051909566 0.146381646 0.730364263 -1.810412288 -0.681240141 0.876384974 0.196682289
FTI,0.650357127 0.009351949 -0.204997391 0.313593388 -1.128212214 0.258531988 1.210826755 0.166768044 -1.736812949 -1.266429186 1.727022529
FTR,0.831861794 -1.027726769 1.617311358 -0.318495184 -0.546032369 0.242441073 -0.855286419 0.982546151 -0.156256944 -1.827343225 1.056980491
GAS,-0.188716337 0.006043518 0.753686309 1.320714355 -1.29982388 0.222543493 -0.275583863 0.456236035 -2.08450532 -0.374614716 1.464020371
GCI,1.843080401 -1.070354342 -0.505101919 2.096348047 0.140260264 -0.565966606 0.153901547 -0.130375609 -0.684270024 -0.905839443 -0.371682465
GD,1.211865306 -0.14640151 0.271175414 0.406412631 -0.354563951 1.125102997 0.825690508 -0.234603599 -1.647538304 -2.0260396 0.568899989
GE,1.504044533 -1.310727358 0.850838184 -0.695511341 0.403518617 -0.191135034 1.057869077 0.157185435 -1.415511012 -1.275810719 0.915239632
GENZ,-0.071315169 -0.997084379 -0.292016685 -0.482961386 0.636611938 0.21464318 -0.965592861 -0.003486474 -0.901735365 0.130093947 2.732843161
